indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,GBF;SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,SDG,TRUE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,GBF;SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,IPBES,FALSE
prevalence of obesity in the adult population (18 years and older),IPBES_GA2.1_sup_9,IPBES,0,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,IPBES,FALSE
prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age,SDG_G2.2.1_16;IPBES_SUA_sup_2.2.1_14,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age,SDG_G2.2.1_16;IPBES_SUA_sup_2.2.1_14,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
prevalence of undernourishment,SDG_G2.1.1_14;IPBES_SUA_sup_2.1.1_12,SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,SDG,TRUE
prevalence of undernourishment,SDG_G2.1.1_14;IPBES_SUA_sup_2.1.1_12,SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,IPBES,FALSE
prevented emissions and uptake of greenhouse gases by ecosystems,GA_2.3_42_143,IPBES,0,Direct drivers,NA,Climate change,NA,IPBES,FALSE
prey fish biomass,GA_2.2_37_70;IPBES_GA2.2_sup_75,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",SDG_G16.6.1_226,SDG,1,Human assets,Governance,State of economy,Legislation/governance,SDG,TRUE
primary production of marine biota,IPCC_2_26_47,IPCC,0,Ecosystem services,NA,Nature contribution,NA,IPCC,FALSE
priority retention of intact / wilderness areas,GBF_T1_C_14;GBF_T2_CY_124,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA,GBF,TRUE
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_12;GBF_T19_H_47,GBF,1,Governance,NA,Nature-based funding,NA,GBF,TRUE
pro-poor public social spending,SDG_G1.b.1_13;IPBES_SUA_sup_1.b.1_11,SDG;IPBES,1,Knowledge systems,NA,State of economy,NA,SDG,TRUE
pro-poor public social spending,SDG_G1.b.1_13;IPBES_SUA_sup_1.b.1_11,SDG;IPBES,1,Knowledge systems,NA,State of economy,NA,IPBES,FALSE
processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports,GBF_GB_CY_88,GBF,1,Human well-being,Governance,Healthy living conditions,Legislation/governance,GBF,TRUE
production,GA_4_34_176,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
production of fuelwood,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
profile of effective radiative forcing (erf),IPCC_7_90_359,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
progress towards sustainable forest management,GBF_T10_H_31;SDG_G15.2.1_196;IPBES_SUA_sup_15.2.1_123,GBF;SDG;IPBES,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,GBF,TRUE
progress towards sustainable forest management,GBF_T10_H_31;SDG_G15.2.1_196;IPBES_SUA_sup_15.2.1_123,GBF;SDG;IPBES,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,SDG,TRUE
progress towards sustainable forest management,GBF_T10_H_31;SDG_G15.2.1_196;IPBES_SUA_sup_15.2.1_123,GBF;SDG;IPBES,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,IPBES,FALSE
projections of global fisheries under an unchanged climate and current management scenario,GEO_21_17_250,GEO,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GEO,FALSE
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",SDG_G8.7.1_108;IPBES_SUA_sup_8.7.1_52,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",SDG_G8.7.1_108;IPBES_SUA_sup_8.7.1_52,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SDG_G8.10.2_114;IPBES_SUA_sup_8.10.2_56,SDG;IPBES,1,Human assets,NA,State of economy,NA,SDG,TRUE
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SDG_G8.10.2_114;IPBES_SUA_sup_8.10.2_56,SDG;IPBES,1,Human assets,NA,State of economy,NA,IPBES,FALSE
proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30;SDG_G2.4.1_21;GA_1_52_19;GEO_17_11_203;IPBES_SUA_sup_2.4.1_19,GBF;SDG;IPBES;GEO,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF,TRUE
proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30;SDG_G2.4.1_21;GA_1_52_19;GEO_17_11_203;IPBES_SUA_sup_2.4.1_19,GBF;SDG;IPBES;GEO,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,SDG,TRUE
proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30;SDG_G2.4.1_21;GA_1_52_19;GEO_17_11_203;IPBES_SUA_sup_2.4.1_19,GBF;SDG;IPBES;GEO,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30;SDG_G2.4.1_21;GA_1_52_19;GEO_17_11_203;IPBES_SUA_sup_2.4.1_19,GBF;SDG;IPBES;GEO,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GEO,FALSE
proportion of area of forest production under fsc and pefc certification,GA_1_52_19,IPBES,0,Ecosystem services,Governance,Nature contribution,Nature-based legislation,IPBES,FALSE
proportion of births attended by skilled health personnel,SDG_G3.1.2_29,SDG,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,SDG,TRUE
proportion of bodies of water with good ambient water quality,GBF_T11_C_52;GBF_GB_CY_67;SDG_G6.3.2_86;IPBES_SUA_sup_6.3.2_31,GBF;SDG;IPBES,1,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,GBF,TRUE
proportion of bodies of water with good ambient water quality,GBF_T11_C_52;GBF_GB_CY_67;SDG_G6.3.2_86;IPBES_SUA_sup_6.3.2_31,GBF;SDG;IPBES,1,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,SDG,TRUE
proportion of bodies of water with good ambient water quality,GBF_T11_C_52;GBF_GB_CY_67;SDG_G6.3.2_86;IPBES_SUA_sup_6.3.2_31,GBF;SDG;IPBES,1,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,IPBES,FALSE
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",SDG_G16.5.2_225,SDG,1,Human assets,Governance,Information on society and socio-economics,Broken governance,SDG,TRUE
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,SDG_G16.2.1_216,SDG,1,Human assets,Governance,Information on society and socio-economics,Broken governance,SDG,TRUE
"proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",SDG_G4.2.1_58,SDG,1,Human assets,Human well-being,Coverage of basic needs,Wellness,SDG,TRUE
"proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",SDG_G4.1.1_56,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",SDG_G16.9.1_231,SDG,1,Human assets,Knowledge systems,Information on society and socio-economics,Information on society and socio-economics,SDG,TRUE
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,SDG_G11.3.2_146,SDG,1,Human assets,Human well-being,Infrastructure (build-up area),Equity,SDG,TRUE
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG_G15.8.1_204;IAS_5_120_132;GEO_13_17_134;IPBES_SUA_sup_15.8.1_130,SDG;IPBES;GEO,1,Governance,NA,Nature-based legislation,NA,SDG,TRUE
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG_G15.8.1_204;IAS_5_120_132;GEO_13_17_134;IPBES_SUA_sup_15.8.1_130,SDG;IPBES;GEO,1,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG_G15.8.1_204;IAS_5_120_132;GEO_13_17_134;IPBES_SUA_sup_15.8.1_130,SDG;IPBES;GEO,1,Governance,NA,Nature-based legislation,NA,GEO,FALSE
proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 percent birth registration and 80 percent death registration,SDG_G17.19.2_259,SDG,1,Governance,NA,Legislation/governance,NA,SDG,TRUE
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),GA_3_26_354,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,GBF_T23_CY_270;SDG_G5.a.2_80;IPBES_SUA_sup_5.a.2_28,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA,GBF,TRUE
proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,GBF_T23_CY_270;SDG_G5.a.2_80;IPBES_SUA_sup_5.a.2_28,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA,SDG,TRUE
proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,GBF_T23_CY_270;SDG_G5.a.2_80;IPBES_SUA_sup_5.a.2_28,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA,IPBES,FALSE
"proportion of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SDG_G10.7.2_137,SDG,1,Human well-being,Knowledge systems,Cultural diversity,Information on society and socio-economics,SDG,TRUE
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,SDG_G5.c.1_82;IPBES_SUA_sup_5.c.1_29,SDG;IPBES,1,Human well-being,NA,Equity,NA,SDG,TRUE
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,SDG_G5.c.1_82;IPBES_SUA_sup_5.c.1_29,SDG;IPBES,1,Human well-being,NA,Equity,NA,IPBES,FALSE
proportion of cropland,IAS_2_5_11,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
proportion of degraded mountain land,SDG_G15.4.2.b_200,SDG,1,ecosystems,NA,Change in ecosystems,NA,SDG,TRUE
proportion of domestic and industrial wastewater flows safely treated,GBF_T7_C_37;SDG_G6.3.1_85,GBF;SDG,1,Human assets,NA,Infrastructure (build-up area),NA,GBF,TRUE
proportion of domestic and industrial wastewater flows safely treated,GBF_T7_C_37;SDG_G6.3.1_85,GBF;SDG,1,Human assets,NA,Infrastructure (build-up area),NA,SDG,TRUE
proportion of domestic budget funded by domestic taxes,SDG_G17.1.2_237;IPBES_SUA_sup_17.1.2_139,SDG;IPBES,1,Human assets,NA,State of economy,NA,SDG,TRUE
proportion of domestic budget funded by domestic taxes,SDG_G17.1.2_237;IPBES_SUA_sup_17.1.2_139,SDG;IPBES,1,Human assets,NA,State of economy,NA,IPBES,FALSE
proportion of domesticated breeds categorized as at risk or extinct,GA_3_44_371,IPBES,0,Ecosystem services,biodiversity,Nature contribution,Change in biodiversity,IPBES,FALSE
proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21;GBF_T9_CY_187;SDG_G14.4.1_187;GA_1_52_19;GA_2.2_37_70;GA_2.2_70_120;GA_4_152_225;GA_3_15_329;GA_3_72_395;GEO_20_8_234;GEO_21_17_250;GEO_21_17_250;IPBES_GA2.2_sup_69;IPBES_GA3_sup_20;IPBES_SUA_sup_14.4.1_114,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21;GBF_T9_CY_187;SDG_G14.4.1_187;GA_1_52_19;GA_2.2_37_70;GA_2.2_70_120;GA_4_152_225;GA_3_15_329;GA_3_72_395;GEO_20_8_234;GEO_21_17_250;GEO_21_17_250;IPBES_GA2.2_sup_69;IPBES_GA3_sup_20;IPBES_SUA_sup_14.4.1_114,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,SDG,TRUE
proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21;GBF_T9_CY_187;SDG_G14.4.1_187;GA_1_52_19;GA_2.2_37_70;GA_2.2_70_120;GA_4_152_225;GA_3_15_329;GA_3_72_395;GEO_20_8_234;GEO_21_17_250;GEO_21_17_250;IPBES_GA2.2_sup_69;IPBES_GA3_sup_20;IPBES_SUA_sup_14.4.1_114,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21;GBF_T9_CY_187;SDG_G14.4.1_187;GA_1_52_19;GA_2.2_37_70;GA_2.2_70_120;GA_4_152_225;GA_3_15_329;GA_3_72_395;GEO_20_8_234;GEO_21_17_250;GEO_21_17_250;IPBES_GA2.2_sup_69;IPBES_GA3_sup_20;IPBES_SUA_sup_14.4.1_114,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",SDG_G5.3.2_72,SDG,1,Human well-being,NA,Equity,NA,SDG,TRUE
"proportion of hazardous waste treated, by type of treatment",SDG_G12.4.2.b_167;IPBES_SUA_sup_12.4.2.b_94,SDG;IPBES,1,Direct drivers,NA,Pollution,NA,SDG,TRUE
"proportion of hazardous waste treated, by type of treatment",SDG_G12.4.2.b_167;IPBES_SUA_sup_12.4.2.b_94,SDG;IPBES,1,Direct drivers,NA,Pollution,NA,IPBES,FALSE
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,SDG_G3.b.3_52,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
proportion of individuals using the internet,SDG_G17.8.1_245;IPBES_SUA_sup_17.8.1_145,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA,SDG,TRUE
proportion of individuals using the internet,SDG_G17.8.1_245;IPBES_SUA_sup_17.8.1_145,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
"proportion of individuals who own a mobile telephone, by sex",SDG_G5.b.1_81,SDG,1,Knowledge systems,NA,Information on society and socio-economics,NA,SDG,TRUE
"proportion of informal employment in total employment, by sector and sex",SDG_G8.3.1_102;IPBES_SUA_sup_8.3.1_46,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"proportion of informal employment in total employment, by sector and sex",SDG_G8.3.1_102;IPBES_SUA_sup_8.3.1_46,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
proportion of known species assessed through the red list index,GBF_T21_CY_251;GA_1_52_19;IPBES_GA3_sup_63,GBF;IPBES,1,biodiversity,NA,Species conservation,NA,GBF,TRUE
proportion of known species assessed through the red list index,GBF_T21_CY_251;GA_1_52_19;IPBES_GA3_sup_63,GBF;IPBES,1,biodiversity,NA,Species conservation,NA,IPBES,FALSE
proportion of land that is degraded over total land area,GBF_T10_CY_198;SDG_G15.3.1_197;GEO_15_17_161;GEO_20_8_234;IPBES_SUA_sup_15.3.1_124,GBF;SDG;IPBES;GEO,1,Direct drivers,NA,Land conversion,NA,GBF,TRUE
proportion of land that is degraded over total land area,GBF_T10_CY_198;SDG_G15.3.1_197;GEO_15_17_161;GEO_20_8_234;IPBES_SUA_sup_15.3.1_124,GBF;SDG;IPBES;GEO,1,Direct drivers,NA,Land conversion,NA,SDG,TRUE
proportion of land that is degraded over total land area,GBF_T10_CY_198;SDG_G15.3.1_197;GEO_15_17_161;GEO_20_8_234;IPBES_SUA_sup_15.3.1_124,GBF;SDG;IPBES;GEO,1,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
