indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",1,,,,,,official development assistance for conservation and sustainable use of biodiversity and ecosystems,nature-based funding,legislative arrangements,governance,FALSE
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",1,,,,,,official development assistance for conservation and sustainable use of biodiversity and ecosystems,nature-based legislation,legislative arrangements,governance,FALSE
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",,,,1,1,1,official development assistance for economic cooperation and development (oecd),national/international cooperation,legislative arrangements,governance,FALSE
total net official development assistance to medical research and basic health sectors,,,,,1,,official development assistance for medical research and health,national/international cooperation,legislative arrangements,governance,FALSE
total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,,,,1,1,1,official development assistance for poverty reduction,national/international cooperation,legislative arrangements,governance,FALSE
volume of official development assistance flows for scholarships by sector and type of study,1,,,,1,,official development assistance for scholarships,national/international cooperation,legislative arrangements,governance,FALSE
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,,,1,1,1,official development assistance for water sanitation,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
total official international support (official development assistance plus other official flows) to infrastructure,,,,1,1,1,official development assistance to infrastructure,national/international cooperation,legislative arrangements,governance,FALSE
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",,,,1,1,1,official development assistance to infrastructure,national/international cooperation,legislative arrangements,governance,FALSE
total official flows (official development assistance plus other official flows) to the agriculture sector,,,,1,1,1,official development assistance to the agriculture sector,anti-nature legislation,legislative arrangements,governance,FALSE
tons of oil equivalent x price,,1,,,,1,oil production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
online interst in biodiversity (proportion of google searches),,1,,,,1,online interest in biodiversity,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
organic pollution in the water,,1,,,,1,organic pollution,pollution,pollution,direct drivers,FALSE
agricultural organic area,,1,,,,1,organic production area,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
area of agricultural land under organic production,,1,,,,1,organic production area,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
overdisperion/ underdispersion,,1,,,,1,over/underdispersion,genetic resources,biodiversity,biodiversity,FALSE
overall habitat integrity,,1,,,,1,overall habitat integrity,state of biodiveristy,biodiversity,biodiversity,FALSE
overexploitation,,,,1,,1,overexploitation,exploitation,exploitation,direct drivers,FALSE
overlap of linguistics and biodiversity,,1,,,,1,overlap of linguistics and biodiversity,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",,,,,1,,"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",equity,equity and freedom of choice and action,wellness,FALSE
