indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
aquaculture production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
quantity of fish produced for animal/aquaculture feed,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
mean length of catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity
large fish indicator,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
trophic level of the landed catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
mean length of fish in the community,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity
proportion of predatory fish,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
trophic level of the community,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
proportion of non-declining species in the surveyed community,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
change in mean fish size,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
trends in fisheries certified by the msc,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
status of assessed fish stocks,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
indicator of unsustainable fisheries (iuu),NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
ebfm performance index,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems
fisheries management effectiveness index,NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
fisheries management index,NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
value of production,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA
value of catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,State Of Economy,Nature Contribution
"nutritional output (calories, nutrients)",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA
farm size distribution,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
nutrition derived from fish,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA
fisheries revenues,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
gross value added (gva),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA
potential catch loss,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
production of fish meal and fish oil use in aquaculture/animal feeds,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
number of jobs,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
arable land remaining,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
kcal capita,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
dietary diversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
hunger,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
malnutrition,NA,1,"GA,GEO",1,2,0,2,1,1,NA,1,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
timber harvest (m3/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
grass/fodder (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
bamboos and rattans market value,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
market value,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA
gums (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
resins (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
latexes (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
oil (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
waxes (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
tannins (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
dyes (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
cork (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
bark (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
cotton (t/ha),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
flax (t/ha/year)),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
jute yields (t/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
sisal yields (t/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
hemp yields (t/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
silk cocoons (t/hear),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
coral solid units (number/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
pearls sold units (number/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
shell sold units (number/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
ornamental plants sold units (number/year or kg/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
pet fish sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
pet bird sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
pet reptile sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
pet amphibian sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
"other living organism for assistance number, stock density (number of horse/household)",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
health benefits provide by companion animals,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Healthy Living Conditions,Nature Contribution
"supply of fiber crops, resins, gum arabic",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
trade of silk,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,Income,Nature Contribution
"production of industrial roundwood, paper pulps",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
export and import of commodity data,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,NA,NA
export and import data,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,NA,NA
number of traded live animals/plants listed in cites databases,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
land suitability and extent of cotton producing area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution
volume of round wood production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
tonnage of cotton production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
number of people employed in forest industry,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
"number of people employed in garment industry (include fibre, cotton industry)",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
map of medicinal plants overlaying plant richness at the global level,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
percentage of new drugs discovered over the last 30 years based on natural medicinal products,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
genetic resources and especially agrodiversity known to date and its linkage to food security,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Healthy Living Conditions,Nature Contribution
percentage of world population relying almost entirely on national medicines policies,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Healthy Living Conditions,Nature Contribution
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
"percentages of wild plant collection harvested, traded",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
new drugs production and sales,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
maps showing areas where humans mostly rely national medicines policies for health,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
biodiversity intactness index (for plants and vertebrates),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
"care, mental health, cultural security, life-satisfaction",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Well-Being,Healthy Living Conditions,Wellness
diversity and economic value of bioinspired production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
areas including all uoa where people mainly rely on nature for their well being,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Recreation,Nature Contribution
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Ilk,NA
human mobility to access different natural habitats for outdoor recreation,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Recreation,NA
indirect access to natural products from natural habitats,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
creation of new rural urban network,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
visitation rates of parks,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Human Well-Being,Nature Contribution,NA
people in proximity to parks or natural areas,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,Recreation
indigenous lands,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,Ecosystems,Ilk,State Of Ecosystems
green space in cities,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA
area of natural and traditional landscapes and seascapes,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
"number of protected areas, parks and gardens",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA
"visitation rate to natural terrestrial, coastal and marine areas",NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,Knowledge Systems,Broken Governance,Information On Society And Socio-Economics
"increased awareness, care, mental health, cultural security, life-satisfaction",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,Wellness
abundance of slowly changing ecosystems (time past last land use change),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA
identity value,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA
happyness,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Wellness,NA
quantitative genetic variation,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
phenotypic variation,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
neutral variation (markers not linked to traits under selection),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,Genetic Diversity
non-neutral variation (markers linked to traits under selection),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
phylogenetic variation (of genes or populations within species),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
demographic variation,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Cultural Diversity,NA
"functional diversity (fd), rarity, redundancy, vulnerability",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
community-weighted mean trait value (cwm),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
phylogenetic diversity (pd),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
overdisperion/ underdispersion,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,Direct Drivers,Change In Biodiversity,Invasive Alien Species
taxonomic diversity and distinctness,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
number of species,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
equitability (commonness and rareness),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
species abundance distribution,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
endemism (% endemics in community),NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
emergence (shannon’s information),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
genetic variation (self-organization),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
genetic variation (complexity),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
genetic variation (homeostasis),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
genetic variation (hamming distance),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
genetic variation (dissimilarity),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
genetic variation (cohesion),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
"genetic variation (connectance, numbers of links by the number of nodes)",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
betadiversity (species turnover),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
gamma diversity (total diversity of species in a landscape),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
genetic variation (nestedness),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
phylogenetic betadiversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
phylogenetic structure of a community,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
trait convergence assembly pattern (tcap),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
trait divergence assembly pattern (tdap),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
functional betadiversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
loss of species,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
biodiversity barometer (% of respondents that have heard of biodiversity),NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
biodiversity barometer (% of respondents giving correct definition of biodiversity),NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
funding towards environmental education,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA
online interest in biodiversity (proportion of google searches),NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
funding towards environmental impact assessment,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA
number of research studies involving economic valuation,NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
world trade organisation greenbox agricultural subsidies,NA,1,"GA,GEO,IPCC",1,3,0,3,1,1,1,NA,Governance,NA,Nature-Based Funding,NA
funding towards institutional capacity building in fisheries,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Nature-Based Funding,NA
percentage of countries that are category 1 cites parties,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Nature-Based Legislation,NA
human appropriation of fresh water (water footprint) (thousand km3),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
marine stewardship council certified fisheries,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
red list index (impacts of fisheries),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
global effort in bottom-trawling,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
nitrogen use balance,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA
wild bird index (farmland birds),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
area of agricultural land under conservation agriculture,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Direct Drivers,Area Conservation,Land Conversion
nitrogen surplus (tg n),NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
percentage of countries with invasive alien species legislation,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Nature-Based Legislation,NA
glacial mass balance,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Change In Ecosystems,NA
mean polar sea ice extent,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
climatic impact index for birds,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,Biodiversity,Climate Change,Change In Biodiversity
percentage of marine and coastal areas covered by protected areas,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA
percentage of terrestrial ecoregions covered by protected areas,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA
percentage of marine ecoregions covered by protected areas,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA
"protected area coverage of bird, mammal and amphibian distributions",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Biodiversity,Area Conservation,State Of Biodiversity
number of protected area management effectiveness (pame) assessments,NA,1,"GA,VA",1,2,0,2,2,1,1,NA,Ecosystems,NA,Area Conservation,NA
funding towards nature reserves,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA
funding towards species protection,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA
percentage of terrestrial domesticated animal breeds at risk,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Species Conservation,NA
percentage change in local species richness,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
percentage of global rural population with access to improved water resources,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs
